a;a;ei
aback;atr�s;e`baek
abacus;�baco;aebekes
abandon;abandonar;e�baenden
abandonment;abandono;e�baendenment
abase;humillarse;e�beis
abashed;avergonzado;e`baeft
abate;disminuir;e`beit
abattoir;matadero;aebetwar
abbess;abadesa;aebes
abbey;abad�a;aebi
abbot;abad;aebet
abbreviate;abreviar;ebrivieit
abbreviation;abreviatura;ebrivieifen
abc;abecedario;eibici
abdicate;abdicar;aebdikeit
abdication;abdicaci�n;aebdikeifen
abdomen;abdomen;aebdemen
abdominal;abdominal;aebdamenel
abduct;secuestrar;aebdakt
abduction;secuestro;aebdakfen
abed;en cama;ebed
aberration;aberraci�n;aebereifen
abet;secundar;ebet
abhor;aborrecer;ebher
abhorrence;aversi�n;ensharbherens
abhorrent;aborrecible;ent
abide;soportar;ebaid
abiding;constante;ebaiding
ability;capacidad;ebileti
abject;abyecto;aebdeekt
abjection;abyecci�n;aebdeekfen
abjure;abjurar;aebdzur
ablative;ablativo;aebletiv
ablaze;en llamas;ebleiz
able;h�bil;eibel
ablebodied;sano;badid
ablution;abluci�n;eblufen
ably;h�bilmente;eibli
abnegation;abnegaci�n;aebnigeifen
abnormal;anormal;aebnermel
abnormality;anomal�a;aebnermaeleti
aboard;a bordo;eberd
abode;morada;eboud
abolish;abolir;ebalif
abolition;abolici�n;aebelifen
abominable;abominable;ebamenebel
abominate;abominar;eneit
abomination;abominaci�n ;ebameneifen
aboriginal;aborigen;aeberidzenel
aborigines;abor�genes;eniz
abort;abortar;ebert
abortion;aborto;eberfen
abortionist;abortista;eberfenest
abound;abundar;ebaund
about;acerca de;ebaut
above;encima;ebav
aboveboard;legitimo;ebavberd
abracadabra;abracadabra;aebrekedaebre
abrasion;raspadura;ebreizen
abrasive;abrasivo;ebreizensiv
abreast;lado a lado;ebrest
abridge;abreviar;ebride
abroad;en el extranjero;ebred
abrogate;derogar;aebregeit
abrupt;abrupto;ebrapt
abscess;absceso;eabses
absence;ausencia;aebsens
absent;ausente;aebsensent
absentee;absentista;aebsenti
absently;distra�damente;aebsentli
absentminded;distra�do;aebsentmainded
absolute;absoluto;aebselut
absolutely;absolutamente;aebselutli
absolution;absoluci�n;aebselufen
absolutism;absolutismo;aebselutizem
absolve;absolver;ebzalv
absorb;absolver;ebserb
absorbed;abstra�do;ebserbd
absorbent;absorbente;ebserbent
absorption;absorci�n;ebserpfen
abstain;abstenerse;ebstein
abstemious;abstemio;aebstimies
abstention;abstenci�n;ebstentfen
abstinence;abstinencia;aebstenens
abstract;abstracto;aebstraekt
abstraction;abstracci�n;aebstraekfen
absurd;absurdo;ebserd
abundance;abundancia;ebandens
abundant;abundante;ebandent
abuse;insultos;ebjuz
abuser;infractor;ebjuzer
abusive;insultante;ebjusiv
abut;lindar;ebat
abutment;contrafuerte;ebatment
abysmal;p�simo;ebizmel
abyss;abismo;ebis
academe;academia;aekedem
academic;acad�mico;aekedemik
academy;academia;ekaedemi
accede;acceder;aeksid
accelerate;acelerar;ikselereitaek
acceleration;aceleraci�n;ikselereifen
accelerator;acelerador;ikselereiter
accent;acento;aeksent
accentuate;acentuar;aeksentfueit
accept;aceptar;ikseptaek
acceptance;aceptaci�n;ikseptaektens
access;acceso;aekses
accessible;accesible;aeksesebel
accessory;accesorio;ikseseriaek
accident;accidente;aeksedent
acclaim;aclamar;ekleim
acclamation;aclamaci�n;aeklemeifen
acclimate;aclimatar;eklaimet
acclimatize;aclimatar;eklaimetaiz
accolade;elogio;aekeleid
accommodate;acomodar;ekamedeit
accommodating;complaciente;ekamedeitin
accommodation;hospedaje;ekamedeifen
accompaniment;acompa�amiento;ekampeniment
accompanist;acompa�ante;ekampenimenest
accompany;acompa�ar;ekampeni
accomplice;c�mplice;ekamples
accomplish;llevar a cabo;ekamplesplif
accomplished;consumado;ekamplesplift
accord;acuerdo;ekerd
accordance;conforme;ekerdens
accordion;acorde�n;ekerdien
accost;abordar;ekest
account;informe;ekaunt
account executive;administrador;ekaunt igzekjetiv
accountable;responsable;ekauntebel
accountancy;contabilidad;ekauntensi
accountant;contador;ekauntent
accredit;acreditar;ekredet
